Comb,growthRate,minProd,maxProd,combList,ACALD,ALCD2x,GLCabcpp,GND,HEX1,LDH_D,PFL,PFK,PYK,TKT2
"GLCabcpp, PFK, PYK",0.241501557097174,0.0800490531962152,0.0800559410689539,"['GLCabcpp', 'PFK', 'PYK']",0,0,1,0,0,0,0,1,1,0
"GLCabcpp, PFK, TKT2",0.239585570581929,0.0794139681722603,0.0794225508313189,"['GLCabcpp', 'PFK', 'TKT2']",0,0,1,0,0,0,0,1,0,1
"GLCabcpp, PYK, TKT2",0.239585570582062,0.0794139681721805,0.0794225508414427,"['GLCabcpp', 'PYK', 'TKT2']",0,0,1,0,0,0,0,0,1,1
"GND, HEX1, LDH_D",0.24150155709704,0.08004905319626,0.0800559410460949,"['GND', 'HEX1', 'LDH_D']",0,0,0,1,1,1,0,0,0,0
"GND, HEX1, PFL",0.189214056431988,0.0627176292961301,0.0627477816449886,"['GND', 'HEX1', 'PFL']",0,0,0,1,1,0,1,0,0,0
"GND, HEX1, PFK",0.24150155709696,0.0800490531962898,0.0800559410722133,"['GND', 'HEX1', 'PFK']",0,0,0,1,1,0,0,1,0,0
"GND, HEX1, PYK",0.241501557097196,0.0800490531959565,0.0800559410504686,"['GND', 'HEX1', 'PYK']",0,0,0,1,1,0,0,0,1,0
"GND, HEX1, TKT2",,0.0,0.0,"['GND', 'HEX1', 'TKT2']",0,0,0,1,1,0,0,0,0,1
"GND, LDH_D, PFL",0.189214056431919,0.062717629296358,0.0627477816528609,"['GND', 'LDH_D', 'PFL']",0,0,0,1,0,1,1,0,0,0
"GND, LDH_D, PFK",0.241501557097133,0.0800490531962599,0.0800559410710591,"['GND', 'LDH_D', 'PFK']",0,0,0,1,0,1,0,1,0,0
"GND, LDH_D, PYK",0.241501557097402,0.0800490531962954,0.0800559410644857,"['GND', 'LDH_D', 'PYK']",0,0,0,1,0,1,0,0,1,0
"GND, LDH_D, TKT2",,0.0,0.0,"['GND', 'LDH_D', 'TKT2']",0,0,0,1,0,1,0,0,0,1
"GND, PFL, PFK",0.189214056431476,0.0627176292962871,0.0627477816167123,"['GND', 'PFL', 'PFK']",0,0,0,1,0,0,1,1,0,0
"GND, PFL, PYK",0.189214056431631,0.0627176292962871,0.0627477816167123,"['GND', 'PFL', 'PYK']",0,0,0,1,0,0,1,0,1,0
"GND, PFL, TKT2",,0.0,0.0,"['GND', 'PFL', 'TKT2']",0,0,0,1,0,0,1,0,0,1
"GND, PFK, PYK",0.241501557096955,0.0800490531962152,0.0800559410379571,"['GND', 'PFK', 'PYK']",0,0,0,1,0,0,0,1,1,0
"GND, PFK, TKT2",,0.0,0.0,"['GND', 'PFK', 'TKT2']",0,0,0,1,0,0,0,1,0,1
"GND, PYK, TKT2",,0.0,0.0,"['GND', 'PYK', 'TKT2']",0,0,0,1,0,0,0,0,1,1
"HEX1, LDH_D, PFL",0.189214056431771,0.0627176292963228,0.0627477816975582,"['HEX1', 'LDH_D', 'PFL']",0,0,0,0,1,1,1,0,0,0
"HEX1, LDH_D, PFK",0.241501557097123,0.0800490531962237,0.0800559410446142,"['HEX1', 'LDH_D', 'PFK']",0,0,0,0,1,1,0,1,0,0
"HEX1, LDH_D, PYK",0.24150155709736,0.0800490531962684,0.0800559410775911,"['HEX1', 'LDH_D', 'PYK']",0,0,0,0,1,1,0,0,1,0
