comb
"('PFL',)"
"('RPI',)"
"('TKT2',)"
"('RPE',)"
"('TALA',)"
"('ALCD2x',)"
"('LDH_D',)"
"('ACALD',)"
"('TKT1',)"
"('ACONTa',)"
"('PFL', 'RPI')"
"('PFL', 'TKT2')"
"('PFL', 'RPE')"
"('PFL', 'RPI', 'TKT2', 'TALA', 'LDH_D')"
"('PFL', 'RPI', 'TKT2', 'TALA', 'ACALD')"
"('PFL', 'RPI', 'TKT2', 'TALA', 'TKT1')"
"('PFL', 'RPI', 'TKT2', 'TALA', 'ACONTa')"
"('PFL', 'RPI', 'TKT2', 'ALCD2x', 'LDH_D')"
"('PFL', 'RPI', 'TKT2', 'ALCD2x', 'ACALD')"
"('PFL', 'RPI', 'TKT2', 'ALCD2x', 'TKT1')"
"('PFL', 'RPI', 'TKT2', 'ALCD2x', 'ACONTa')"
"('PFL', 'RPI', 'TKT2', 'LDH_D', 'ACALD')"
"('PFL', 'RPI', 'TKT2', 'LDH_D', 'TKT1')"
"('PFL', 'RPI', 'TKT2', 'LDH_D', 'ACONTa')"
"('PFL', 'RPI', 'TKT2', 'ACALD', 'TKT1')"
"('PFL', 'RPI', 'TKT2', 'ACALD', 'ACONTa')"
"('PFL', 'RPI', 'TKT2', 'TKT1', 'ACONTa')"
"('PFL', 'RPI', 'RPE', 'TALA', 'ALCD2x')"
"('PFL', 'RPI', 'RPE', 'TALA', 'LDH_D')"
"('PFL', 'RPI', 'RPE', 'TALA', 'ACALD')"
"('PFL', 'RPI', 'RPE', 'TALA', 'TKT1')"
"('PFL', 'RPI', 'RPE', 'TALA', 'ACONTa')"
"('PFL', 'RPI', 'RPE', 'ALCD2x', 'LDH_D')"
"('PFL', 'RPI', 'RPE', 'ALCD2x', 'ACALD')"
"('PFL', 'RPI', 'RPE', 'ALCD2x', 'TKT1')"
"('PFL', 'RPI', 'RPE', 'ALCD2x', 'ACONTa')"
"('PFL', 'RPI', 'RPE', 'LDH_D', 'ACALD')"
"('PFL', 'RPI', 'RPE', 'LDH_D', 'TKT1')"
"('PFL', 'RPI', 'RPE', 'LDH_D', 'ACONTa')"
"('PFL', 'RPI', 'RPE', 'ACALD', 'TKT1')"
"('PFL', 'RPI', 'RPE', 'ACALD', 'ACONTa')"
"('PFL', 'RPI', 'RPE', 'TKT1', 'ACONTa')"
"('PFL', 'RPI', 'TALA', 'ALCD2x', 'LDH_D')"
"('PFL', 'RPI', 'TALA', 'ALCD2x', 'ACALD')"
"('PFL', 'RPI', 'TALA', 'ALCD2x', 'TKT1')"
"('PFL', 'RPI', 'TALA', 'ALCD2x', 'ACONTa')"
